cohort_id,concept_set_id,concept_set_name,concept_id,concept_name,concept_code,source_vocabulary_id,source_concept_id,source_concept_name,concept_subjects,concept_count,database_id
100,0,Type 2 Diabetes Mellitus,376112,Diabetic polyneuropathy,No matching concept,None,0,No matching concept,-5,121,PREMIER
100,0,Type 2 Diabetes Mellitus,442793,Diabetic complication,No matching concept,None,0,No matching concept,14,248,PREMIER
100,0,Type 2 Diabetes Mellitus,443238,Diabetic - poor control,No matching concept,None,0,No matching concept,-5,-5,PREMIER
100,0,Type 2 Diabetes Mellitus,443732,Disorder due to type 2 diabetes mellitus,No matching concept,None,0,No matching concept,-5,-5,PREMIER
100,0,Type 2 Diabetes Mellitus,4008576,Diabetes mellitus without complication,No matching concept,None,0,No matching concept,22,134,PREMIER
100,0,Type 2 Diabetes Mellitus,4099216,Type 2 diabetes mellitus with multiple complications,No matching concept,None,0,No matching concept,-5,-5,PREMIER
100,0,Type 2 Diabetes Mellitus,4137220,Diabetic glomerulonephritis,No matching concept,None,0,No matching concept,-5,14,PREMIER
100,0,Type 2 Diabetes Mellitus,4174977,Retinopathy due to diabetes mellitus,No matching concept,None,0,No matching concept,-5,-5,PREMIER
100,0,Type 2 Diabetes Mellitus,4193704,Type 2 diabetes mellitus without complication,No matching concept,None,0,No matching concept,31,78,PREMIER
100,0,Type 2 Diabetes Mellitus,4226121,Retinopathy with type 2 diabetes mellitus,No matching concept,None,0,No matching concept,-5,-5,PREMIER
100,0,Type 2 Diabetes Mellitus,37017432,Polyneuropathy due to type 2 diabetes mellitus,No matching concept,None,0,No matching concept,-5,24,PREMIER
100,0,Type 2 Diabetes Mellitus,45769906,End stage renal disease on dialysis due to type 2 diabetes mellitus,No matching concept,None,0,No matching concept,-5,484,PREMIER
101,0,Hypertension,319034,Hypertensive heart disease without congestive heart failure,No matching concept,None,0,No matching concept,-5,17,PREMIER
101,0,Hypertension,320128,Essential hypertension,No matching concept,None,0,No matching concept,46,113,PREMIER
101,0,Hypertension,443771,Renal hypertension,No matching concept,None,0,No matching concept,-5,-5,PREMIER
101,0,Hypertension,443919,Hypertensive renal failure,No matching concept,None,0,No matching concept,-5,-5,PREMIER
102,0,Chronic kidney disease,192359,Renal failure syndrome,No matching concept,None,0,No matching concept,-5,5,PREMIER
102,0,Chronic kidney disease,195314,Nephrotic syndrome,No matching concept,None,0,No matching concept,-5,-5,PREMIER
102,0,Chronic kidney disease,443597,Chronic kidney disease stage 3,No matching concept,None,0,No matching concept,5,21,PREMIER
102,0,Chronic kidney disease,443611,Chronic kidney disease stage 5,No matching concept,None,0,No matching concept,7,2796,PREMIER
102,0,Chronic kidney disease,443612,Chronic kidney disease stage 4,No matching concept,None,0,No matching concept,-5,23,PREMIER
102,0,Chronic kidney disease,443919,Hypertensive renal failure,No matching concept,None,0,No matching concept,-5,-5,PREMIER
102,0,Chronic kidney disease,4056479,"Chronic nephritic syndrome, focal and segmental glomerular lesions",No matching concept,None,0,No matching concept,-5,-5,PREMIER
102,0,Chronic kidney disease,4058840,"Nephrotic syndrome, focal and segmental glomerular lesions",No matching concept,None,0,No matching concept,-5,222,PREMIER
102,0,Chronic kidney disease,4137220,Diabetic glomerulonephritis,No matching concept,None,0,No matching concept,-5,14,PREMIER
102,0,Chronic kidney disease,4170452,Postoperative renal failure,No matching concept,None,0,No matching concept,-5,-5,PREMIER
102,0,Chronic kidney disease,45769906,End stage renal disease on dialysis due to type 2 diabetes mellitus,No matching concept,None,0,No matching concept,-5,484,PREMIER
102,0,Chronic kidney disease,46271022,Chronic kidney disease,No matching concept,None,0,No matching concept,10,1179,PREMIER
102,1,Dialysis,4019967,Dependence on renal dialysis,No matching concept,None,0,No matching concept,-5,-5,PREMIER
102,1,Dialysis,4051329,Continuous venovenous hemodialysis,No matching concept,None,0,No matching concept,-5,25,PREMIER
102,1,Dialysis,4120120,Hemodialysis,No matching concept,None,0,No matching concept,10,5432,PREMIER
103,0,End stage renal disease,443611,Chronic kidney disease stage 5,No matching concept,None,0,No matching concept,7,2796,PREMIER
103,0,End stage renal disease,443919,Hypertensive renal failure,No matching concept,None,0,No matching concept,-5,-5,PREMIER
103,0,End stage renal disease,45769906,End stage renal disease on dialysis due to type 2 diabetes mellitus,No matching concept,None,0,No matching concept,-5,484,PREMIER
103,1,Dialysis,4019967,Dependence on renal dialysis,No matching concept,None,0,No matching concept,-5,-5,PREMIER
103,1,Dialysis,4051329,Continuous venovenous hemodialysis,No matching concept,None,0,No matching concept,-5,25,PREMIER
103,1,Dialysis,4120120,Hemodialysis,No matching concept,None,0,No matching concept,10,5432,PREMIER
104,5,Heart disease conditions,314658,Cardiomegaly,No matching concept,None,0,No matching concept,-5,-5,PREMIER
104,5,Heart disease conditions,315286,Chronic ischemic heart disease,No matching concept,None,0,No matching concept,-5,-5,PREMIER
104,5,Heart disease conditions,315564,Aortic valve regurgitation,No matching concept,None,0,No matching concept,-5,-5,PREMIER
104,5,Heart disease conditions,316139,Heart failure,No matching concept,None,0,No matching concept,6,23,PREMIER
104,5,Heart disease conditions,319034,Hypertensive heart disease without congestive heart failure,No matching concept,None,0,No matching concept,-5,17,PREMIER
104,5,Heart disease conditions,321042,Cardiac arrest,No matching concept,None,0,No matching concept,5,8,PREMIER
104,5,Heart disease conditions,321107,Congenital insufficiency of aortic valve,No matching concept,None,0,No matching concept,-5,-5,PREMIER
104,5,Heart disease conditions,321318,Angina pectoris,No matching concept,None,0,No matching concept,-5,45,PREMIER
104,5,Heart disease conditions,321319,Cardiomyopathy,No matching concept,None,0,No matching concept,-5,-5,PREMIER
104,5,Heart disease conditions,434462,Ventricular septal defect,No matching concept,None,0,No matching concept,-5,-5,PREMIER
104,5,Heart disease conditions,443580,Systolic heart failure,No matching concept,None,0,No matching concept,-5,13,PREMIER
104,5,Heart disease conditions,4068155,Atrial arrhythmia,No matching concept,None,0,No matching concept,7,15,PREMIER
